epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,427.01,1.59101,7.00514,1.47458,0.69057,0.62352,0.67768,0.40587,1.56914,5.31379,1.42103,0.00999035,0.00333012,0.00999035,0.00333012,0.00999035,0.00333012,0.00999035,0.00333012
2,835.795,1.63087,4.99577,1.47847,0.68008,0.58893,0.65663,0.37562,1.67812,4.83686,1.55257,0.0199855,0.00666182,0.0199855,0.00666182,0.0199855,0.00666182,0.0199855,0.00666182
3,1243.81,1.73952,5.15854,1.56228,0.59073,0.49233,0.5221,0.27385,1.89286,5.69396,1.73066,0.0299611,0.00998702,0.0299611,0.00998702,0.0299611,0.00998702,0.0299611,0.00998702
4,1655.63,1.77233,5.23185,1.59865,0.71757,0.61112,0.69216,0.40574,1.64828,4.27326,1.52402,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2048.55,1.69064,4.76235,1.54434,0.7579,0.65352,0.73178,0.44161,1.60953,4.04632,1.49727,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2436.95,1.63086,4.42592,1.50331,0.7403,0.69835,0.76815,0.47332,1.54078,3.56516,1.44589,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2839.65,1.59802,4.27469,1.48299,0.77781,0.70914,0.79309,0.50019,1.48444,3.3112,1.38499,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3243.7,1.56551,4.11451,1.45891,0.819,0.71551,0.807,0.5185,1.46269,3.22444,1.36583,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3650.34,1.55025,3.96725,1.4452,0.81676,0.74555,0.82366,0.54114,1.41554,2.98138,1.34197,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,4051.66,1.52744,3.90097,1.43337,0.82833,0.7476,0.83022,0.55001,1.39995,2.91632,1.32521,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
