epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,358.008,1.17387,0.99807,1.30634,0.7921,0.63054,0.70578,0.45288,1.25122,0.88307,1.36527,0.00998148,0.00332716,0.00998148,0.00332716,0.00998148,0.00332716,0.00998148,0.00332716
2,714.658,1.18206,1.00179,1.30667,0.68633,0.6,0.63315,0.39403,1.35651,1.03313,1.45074,0.0195819,0.0065273,0.0195819,0.0065273,0.0195819,0.0065273,0.0195819,0.0065273
3,1067.1,1.27862,1.16536,1.3778,0.55314,0.51351,0.53378,0.30807,1.513,1.32972,1.59056,0.0287823,0.00959411,0.0287823,0.00959411,0.0287823,0.00959411,0.0287823,0.00959411
4,1417.91,1.37279,1.33015,1.44771,0.52011,0.51176,0.52466,0.29256,1.58232,1.39275,1.6275,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006,0.0282002,0.00940006
5,1772.3,1.36367,1.30525,1.44326,0.65902,0.54962,0.59626,0.34273,1.50355,1.2843,1.56928,0.0276002,0.00920008,0.0276002,0.00920008,0.0276002,0.00920008,0.0276002,0.00920008
6,2128.24,1.34573,1.2725,1.42683,0.73363,0.56334,0.63134,0.38262,1.42057,1.2066,1.5095,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
7,2481.78,1.32417,1.22527,1.41028,0.68185,0.57562,0.61875,0.37737,1.4143,1.16217,1.51043,0.0264004,0.00880012,0.0264004,0.00880012,0.0264004,0.00880012,0.0264004,0.00880012
8,2830.94,1.3132,1.20421,1.40138,0.71791,0.57262,0.63361,0.38694,1.39849,1.12029,1.48034,0.0258004,0.00860014,0.0258004,0.00860014,0.0258004,0.00860014,0.0258004,0.00860014
9,3177.08,1.29878,1.17558,1.39161,0.7707,0.5852,0.6639,0.40485,1.37508,1.04704,1.47124,0.0252005,0.00840016,0.0252005,0.00840016,0.0252005,0.00840016,0.0252005,0.00840016
10,3534.43,1.27415,1.13555,1.37067,0.81049,0.57073,0.6776,0.41215,1.34684,1.03606,1.43733,0.0246005,0.00820018,0.0246005,0.00820018,0.0246005,0.00820018,0.0246005,0.00820018
